0.12:0.65:0.79;0.35:0.89:0.46;0.57:0.12:0.68;0.79:0.35:0.90
0.23:0.77:0.89;0.46:0.90:0.57;0.68:0.23:0.79;0.89:0.46:0.01
0.35:0.88:0.90;0.57:0.01:0.68;0.79:0.35:0.89;0.90:0.57:0.12
0.46:0.99:0.01;0.68:0.12:0.79;0.89:0.46:0.90;0.01:0.68:0.23
0.57:0.10:0.12;0.79:0.23:0.89;0.90:0.57:0.01;0.12:0.79:0.35
0.68:0.11:0.23;0.89:0.35:0.90;0.01:0.68:0.12;0.23:0.89:0.46
0.79:0.21:0.35;0.90:0.46:0.01;0.12:0.79:0.23;0.35:0.90:0.57
0.89:0.32:0.46;0.01:0.57:0.12;0.23:0.89:0.35;0.46:0.01:0.68
0.90:0.43:0.57;0.12:0.68:0.23;0.35:0.90:0.46;0.57:0.12:0.79
0.78:0.66:0.68;0.55:0.79:0.35;0.46:0.01:0.57;0.68:0.23:0.89
0.17:0.55:0.89;0.26:0.89:0.37;0.66:0.13:0.66;0.78:0.18:0.91
0.23:0.78:0.79;0.56:0.90:0.67;0.67:0.33:0.89;0.89:0.45:0.7
0.34:0.88:0.90;0.55:0.23:0.70;0.78:0.25:0.89;0.90:0.58:0.22
0.38:0.95:0.23;0.78:0.12:0.68;0.87:0.56:0.89;0.06:0.67:0.23
0.54:0.12:0.15;0.69:0.26:0.89;0.89:0.59:0.09;0.21:0.76:0.29
0.69:0.12:0.24;0.78:0.26:0.90;0.01:0.59:0.13;0.33:0.79:0.39
0.76:0.22:0.27;0.88:0.39:0.03;0.17:0.76:0.29;0.29:0.90:0.58
0.84:0.39:0.49;0.03:0.55:0.08;0.26:0.84:0.29;0.49:0.03:0.64
0.88:0.44:0.67;0.23:0.56:0.33;0.35:0.90:0.39;0.57:0.15:0.79
0.05:0.56:0.69;0.33:0.79:0.25;0.26:0.05:0.37;0.54:0.24:0.88
